CompanyGUID,CompanyName,CustomerID,CustomerName,siNumber,siDate,siGuid,Recipient,Line1,Line2,City,State,Zip,CustomerPO,ShipVia
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SNOWDEN","Snowden Interior Design","10201","2/3/12","{60D5F284-4689-4982-8584-80E85DEF8B8B}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SMITH","Smith Family Garden Center","10203","2/10/12","{11C4F9F7-EC9B-4383-B8F7-54B2636F2D7E}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","MOSLEY","Mosley Country Club","10204","2/10/12","{47E42E5F-B50B-4295-B149-30AB62893B2E}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","FREEMOND","Freemond Country Club","10206","2/13/12","{73DD996E-D95F-47FC-A9FC-810991CAACB1}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","PIERCE","Pierce Properties, Inc.","10208","2/13/12","{6C5147E4-69E0-4618-A8BB-00B7D3E53E5A}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ROSE","Rose University","10120","2/15/12","{30AA10B2-78E8-474C-B6B5-96193E02D6BC}","Rose University","4444 Peachtree Road NE","","Atlanta","GA","30333","","Hand Deliver"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","HENTON","Henton Park Apartments","10123","2/15/12","{EF68C4AE-842A-4C86-848E-FA276C3C5E65}","Henton Park Apartments","15560 Harrison Road","","Atlanta","GA","30344","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SMITH","Smith Family Garden Center","10125","2/15/12","{F2E1A1A2-6101-4FEA-AE74-E409C5A420E4}","Smith Family Garden Center","5432 Peachtree Road","","Atlanta","GA","30025","","Cust. Pickup"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ALDRED","Aldred Builders, Inc.","10129","2/15/12","{DCD7B6CF-3F98-46BA-82A7-5AAEF464CDD8}","","","","","","","","Cust. Pickup"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ROBERTS","Roberts Learning Centers","10210","2/15/12","{0ECDE668-7870-42C8-88F1-6383406EA957}","","","","","","","","Cust. Pickup"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SNOWDEN","Snowden Interior Design","10325","2/16/12","{AA2AFB45-8FC1-4A30-B510-C2776ED08F88}","Coleman Realty","1890 Singleton Road","","Norcross","GA","30093","213456","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","EVERLY","Everly Property Management","10205","2/19/12","{1C74BB95-6697-4B1D-B18E-0871AED39F17}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","HENTON","Henton Park Apartments","10207","2/20/12","{97957EF5-8F69-4013-BB20-C6F26C049000}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","THURMAN","Thurman Golf Course Design","10119","2/21/12","{2CC5FAFB-E791-4613-965F-9A1E434DA002}","Thurman Golf Course Design","3501 Northside Drive","","Atlanta","GA","30333","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","10326","2/22/12","{54F118A9-3A01-45F9-AF47-2024065E592D}","Harding Consulting","2300 Club Drive","Suite A","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","10120","2/22/12","{9E685D02-D3D4-43AE-AAAA-72D9AA4A477A}","Harding Consulting","2300 Club Drive","Suite A","Norcross","GA","30093","","Cust. Pickup"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","EVERLY","Everly Property Management","10208","2/23/12","{94423F62-CD0C-4054-B026-1691A62A88B2}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARCHER","Archer Scapes and Ponds","10209","2/23/12","{439519D8-60C8-42CC-BBD7-01F594C710FF}","Spencer Software","778 Oakland Parkway","","Alpharetta","GA","30092","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","GORDON","Gordon Park & Recreation Center","10123","2/26/12","{78A0876A-9915-4C7D-91E1-1B46AB11A50F}","","","","","","","","Hand Deliver"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","TACOMA","Tacoma Park Golf Course","10126","2/26/12","{120A5CE9-716A-497D-980F-B54E71A9245A}","Tacoma Park Golf Course","3545 The Experience Boulevard","","Duluth","GA","30029","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SNOWDEN","Snowden Interior Design","CCM4001","2/27/12","{AE0FEB78-1740-4BE7-A7DB-7C997EBE65DA}","Coleman Realty","1890 Singleton Road","","Norcross","GA","30093","213456",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SNOWDEN","Snowden Interior Design","CCM4001","2/27/12","{AE0FEB78-1740-4BE7-A7DB-7C997EBE65DA}","Coleman Realty","1890 Singleton Road","","Norcross","GA","30093","213456",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SNOWDEN","Snowden Interior Design","CCM4001","2/27/12","{AE0FEB78-1740-4BE7-A7DB-7C997EBE65DA}","Coleman Realty","1890 Singleton Road","","Norcross","GA","30093","213456",""
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","10212","2/27/12","{A0D38543-421B-4874-ABCE-4CA9BF286CD6}","Harding Consulting","2300 Club Drive","Suite A","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SNYDER","Snyder Securities","10127","2/28/12","{05C0A87C-158B-4592-8DC6-B94064396454}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","THURMAN","Thurman Golf Course Design","10130","2/28/12","{A21F5C88-2715-4EA0-BF9F-25AF6DA58A32}","Thurman Golf Course Design","3501 Northside Drive","","Atlanta","GA","30333","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SAIA","Saia's Neighborhood Nursery","10212","2/28/12","{162EFC01-12D5-4891-A070-F777073C6E44}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","SAIA","Saia's Neighborhood Nursery","10215","2/28/12","{D322C178-2153-48E8-BBD3-BBCA4CA8AE9F}","","","","","","","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","DASH","Dash Business Systems","10327","3/1/12","{94F10692-3E44-4083-A947-F81E2A49D2B9}","Sharp Business Systems","1448 Steve Reynolds Blvd.","","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","ARMSTRONG","Armstrong Landscaping","10226","3/1/12","{619D794B-4E6C-45FD-A2D7-696B2121FC34}","Harding Consulting","2300 Club Drive","Suite A","Norcross","GA","30093","","None"
"{BCFFA421-17A5-11d4-A132-0008C72ADC07}","Bellwether Garden Supply","FREEMOND","Freemond Country Club","10227","3/1/12","{1D0F4D4C-ABD5-469E-B5F4-FAF5AA41986D}","Freeman Enterprises","9845 Willow Trail Dr","","Norcross","GA","30093","","None"
